Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
27,No,Travel_Rarely,384,Research & Development,11,4,Other,1,6274,4,Male,89,3,1,Healthcare Representative,4,Divorced,3504,15969,3,Y,Yes,11,3,3,80,2,7,3,4,0,0,0,0
33,No,Travel_Rarely,1033,Research & Development,9,3,Medical,1,6275,3,Female,86,2,3,Research Director,3,Divorced,4630,21728,2,Y,No,11,3,3,80,1,6,4,2,2,1,0,0
38,Yes,Travel_Rarely,945,Sales,4,1,Medical,1,6276,3,Male,96,3,1,Sales Representative,4,Single,1826,8400,2,Y,No,11,4,2,80,0,9,1,2,4,1,1,3
46,No,Non-Travel,629,Human Resources,7,3,Life Sciences,1,6277,3,Female,62,1,4,Manager,3,Divorced,9159,5782,4,Y,No,17,3,2,80,0,28,4,1,16,4,7,11
35,No,Travel_Frequently,1414,Research & Development,8,2,Other,1,6278,1,Female,54,3,3,Laboratory Technician,3,Single,4497,11070,4,Y,Yes,11,4,3,80,0,15,3,3,10,6,4,4
26,No,Travel_Rarely,475,Research & Development,3,1,Technical Degree,1,6279,2,Male,51,4,1,Manufacturing Director,4,Single,3136,22600,4,Y,Yes,20,3,3,80,1,4,2,3,2,1,1,1
38,No,Travel_Rarely,834,Sales,4,3,Life Sciences,1,6280,1,Male,85,4,3,Sales Executive,3,Married,8827,26305,2,Y,No,16,3,3,80,0,4,2,3,2,1,0,0
38,No,Travel_Rarely,614,Sales,21,4,Medical,1,6281,1,Male,55,4,4,Sales Representative,4,Single,7048,23237,4,Y,No,11,3,4,80,1,20,1,4,7,3,3,1
39,No,Travel_Rarely,1149,Research & Development,9,2,Life Sciences,1,6282,2,Male,61,4,2,Research Director,3,Divorced,2991,6050,4,Y,No,11,3,4,80,1,17,2,3,0,0,0,0
46,No,Travel_Rarely,640,Sales,29,1,Marketing,1,6283,4,Female,74,4,2,Sales Executive,3,Single,2426,21829,3,Y,No,11,3,3,80,2,14,4,2,3,1,1,1
47,No,Travel_Rarely,1219,Research & Development,18,2,Medical,1,6284,4,Female,63,2,3,Manufacturing Director,3,Married,10996,21968,4,Y,Yes,11,3,4,80,2,20,1,3,14,6,3,10
31,Yes,Travel_Rarely,346,Research & Development,13,1,Other,1,6285,2,Female,80,2,1,Research Director,3,Married,2142,5924,1,Y,No,11,3,1,80,1,8,3,2,1,0,0,0
31,Yes,Travel_Rarely,723,Sales,10,2,Medical,1,6286,2,Female,91,2,2,Sales Executive,2,Divorced,4236,12348,3,Y,Yes,11,3,2,80,2,9,3,1,3,1,0,1
27,No,Travel_Rarely,342,Research & Development,2,3,Other,1,6287,3,Male,64,4,1,Healthcare Representative,4,Single,4388,7653,3,Y,Yes,11,3,4,80,3,0,2,3,0,0,0,0
44,No,Travel_Rarely,592,Research & Development,2,1,Medical,1,6288,4,Male,33,3,1,Manager,3,Married,3572,25554,4,Y,Yes,11,4,2,80,1,27,0,2,14,8,8,10
51,No,Travel_Rarely,522,Research & Development,1,3,Technical Degree,1,6289,3,Female,47,2,4,Laboratory Technician,2,Single,16835,10671,7,Y,Yes,11,3,4,80,0,31,6,2,4,3,2,1
34,No,Travel_Rarely,760,Sales,10,1,Technical Degree,1,6290,3,Male,46,3,2,Sales Executive,3,Married,4320,6609,4,Y,No,11,3,4,80,0,10,3,3,6,3,0,0
35,Yes,Travel_Rarely,921,Research & Development,15,1,Technical Degree,1,6291,4,Female,58,3,1,Manager,4,Divorced,2664,19521,4,Y,No,13,4,4,80,0,19,2,3,0,0,0,0
51,No,Travel_Frequently,996,Research & Development,6,1,Other,1,6292,2,Female,30,1,2,Manager,3,Single,6217,24146,5,Y,No,11,3,3,80,1,26,1,4,14,8,2,7
42,No,Travel_Rarely,1307,Research & Development,11,1,Other,1,6293,3,Male,57,4,4,Laboratory Technician,4,Single,11165,16736,6,Y,No,17,3,3,80,1,26,1,4,16,5,6,4
41,No,Travel_Rarely,316,Human Resources,4,4,Life Sciences,1,6294,2,Male,77,1,4,Manager,4,Married,5470,14447,6,Y,No,16,3,4,80,0,25,1,2,18,4,5,3
26,Yes,Travel_Frequently,938,Research & Development,1,3,Life Sciences,1,6295,3,Female,55,4,2,Laboratory Technician,2,Single,4914,16891,4,Y,Yes,13,3,2,80,0,10,4,3,3,1,1,2
43,No,Travel_Rarely,608,Research & Development,17,3,Other,1,6296,3,Male,87,1,3,Laboratory Technician,1,Single,8066,13473,5,Y,No,15,4,4,80,0,25,2,3,7,1,0,4
28,No,Travel_Rarely,480,Sales,10,1,Technical Degree,1,6297,2,Female,76,3,3,Manager,2,Single,8514,2109,4,Y,No,11,3,3,80,1,12,1,1,2,1,0,1
26,Yes,Travel_Frequently,950,Research & Development,20,4,Technical Degree,1,6298,3,Male,61,3,1,Manufacturing Director,1,Married,2603,10512,1,Y,No,16,3,3,80,0,0,3,3,0,0,0,0
34,No,Travel_Rarely,113,Research & Development,21,2,Other,1,6299,1,Male,82,3,4,Research Director,2,Single,9497,18904,2,Y,Yes,12,3,3,80,0,10,3,3,0,0,0,0
31,No,Travel_Frequently,385,Research & Development,12,1,Life Sciences,1,6300,3,Male,89,1,1,Research Director,4,Married,3081,3866,2,Y,No,23,3,3,80,0,15,2,3,4,2,0,2
35,No,Non-Travel,501,Human Resources,4,1,Life Sciences,1,6301,3,Female,87,3,2,Manager,3,Married,3204,6753,5,Y,No,12,3,1,80,0,15,2,1,5,3,2,2
23,Yes,Travel_Rarely,342,Research & Development,9,1,Medical,1,6302,4,Male,72,2,1,Laboratory Technician,2,Married,2392,8150,1,Y,Yes,11,4,4,80,1,0,5,2,0,0,0,0
46,Yes,Travel_Frequently,340,Sales,1,1,Marketing,1,6303,3,Male,54,2,2,Manager,1,Divorced,4743,22690,6,Y,No,14,4,4,80,0,20,1,2,0,0,0,0
48,No,Travel_Rarely,1418,Sales,17,1,Other,1,6304,1,Male,42,1,3,Sales Representative,2,Married,8277,3432,7,Y,No,11,3,3,80,3,29,0,2,10,1,4,1
19,No,Travel_Rarely,496,Research & Development,10,3,Life Sciences,1,6305,3,Male,95,3,1,Manager,4,Married,1882,22081,2,Y,No,13,3,2,80,0,1,2,4,0,0,0,0
46,No,Travel_Rarely,369,Human Resources,5,5,Other,1,6306,3,Male,43,3,3,Human Resources,4,Single,6001,6572,7,Y,No,14,4,4,80,0,17,1,3,1,0,0,0
29,Yes,Travel_Rarely,1119,Research & Development,8,1,Life Sciences,1,6307,4,Male,100,1,1,Manager,1,Married,2129,12018,2,Y,Yes,11,3,1,80,3,4,2,1,1,0,0,0
45,No,Travel_Rarely,1016,Research & Development,3,2,Technical Degree,1,6308,3,Male,64,2,4,Research Scientist,2,Divorced,7472,16351,4,Y,No,14,3,3,80,1,26,4,2,4,1,1,1
36,No,Travel_Rarely,202,Research & Development,5,1,Other,1,6309,1,Male,39,3,1,Manufacturing Director,4,Married,3136,21884,5,Y,No,16,3,3,80,2,13,5,2,6,2,2,4
37,Yes,Travel_Frequently,1142,Research & Development,1,1,Medical,1,6310,3,Male,74,3,2,Research Director,1,Single,8340,22408,6,Y,No,11,3,2,80,0,21,1,2,0,0,0,0
35,No,Travel_Rarely,714,Research & Development,8,1,Life Sciences,1,6311,2,Male,42,4,2,Healthcare Representative,3,Divorced,7050,5744,5,Y,No,13,3,3,80,1,19,3,4,3,1,1,2
49,No,Travel_Rarely,1301,Sales,10,3,Medical,1,6312,4,Male,46,4,5,Sales Executive,3,Married,18431,17649,6,Y,No,11,3,2,80,0,31,3,3,15,2,5,3
25,Yes,Travel_Frequently,290,Sales,3,4,Technical Degree,1,6313,1,Male,43,3,2,Sales Representative,2,Single,2787,7447,0,Y,Yes,14,3,2,80,0,2,1,1,1,0,0,0
43,Yes,Travel_Rarely,360,Research & Development,4,1,Medical,1,6314,3,Male,94,4,2,Research Scientist,3,Married,6119,3216,5,Y,Yes,11,4,2,80,0,11,3,3,6,4,0,2
47,No,Travel_Rarely,1285,Research & Development,1,2,Life Sciences,1,6315,3,Female,77,3,4,Laboratory Technician,3,Single,11789,4313,9,Y,Yes,14,3,2,80,1,31,3,3,7,1,0,3
44,No,Travel_Rarely,1089,Human Resources,4,2,Human Resources,1,6316,4,Male,94,2,2,Human Resources,4,Married,4046,21493,3,Y,No,11,3,2,80,0,16,4,3,2,1,0,0
59,No,Travel_Rarely,1214,Research & Development,29,3,Medical,1,6317,3,Female,59,3,5,Healthcare Representative,1,Single,20000,9425,6,Y,No,11,3,3,80,0,36,2,4,11,1,1,0
32,No,Travel_Rarely,738,Human Resources,1,2,Human Resources,1,6318,4,Male,47,3,2,Manager,4,Single,3352,12911,2,Y,No,14,3,2,80,2,12,2,3,6,3,3,2
46,No,Non-Travel,314,Research & Development,1,4,Life Sciences,1,6319,2,Female,40,2,4,Research Scientist,4,Married,10237,17231,4,Y,Yes,11,3,2,80,3,30,1,4,14,3,2,10
36,No,Non-Travel,917,Research & Development,1,1,Medical,1,6320,2,Female,39,2,3,Manufacturing Director,3,Divorced,9534,9104,3,Y,No,11,3,4,80,1,15,3,3,10,4,2,3
49,No,Travel_Frequently,678,Sales,1,3,Life Sciences,1,6321,3,Male,73,3,3,Sales Representative,3,Single,8977,24839,7,Y,No,11,3,4,80,0,32,1,2,8,3,2,6
37,No,Travel_Rarely,324,Research & Development,3,1,Other,1,6322,3,Female,54,2,2,Healthcare Representative,3,Single,4531,3055,5,Y,No,11,3,2,80,3,16,2,3,6,2,1,2
33,No,Travel_Rarely,1339,Research & Development,2,1,Other,1,6323,2,Male,52,2,1,Healthcare Representative,2,Married,3148,13423,3,Y,No,16,3,3,80,0,17,0,1,9,8,4,6
49,No,Travel_Rarely,690,Research & Development,9,4,Medical,1,6324,3,Male,100,3,4,Research Director,3,Divorced,9488,4224,4,Y,No,15,3,4,80,1,16,0,3,4,3,0,3
32,No,Travel_Rarely,981,Sales,1,4,Other,1,6325,2,Male,51,4,4,Manager,3,Single,11842,25963,3,Y,No,14,3,4,80,1,9,1,3,3,1,0,1
24,Yes,Travel_Rarely,587,Research & Development,16,2,Life Sciences,1,6326,2,Male,82,2,2,Manufacturing Director,2,Divorced,5416,15212,1,Y,No,11,3,1,80,0,4,1,4,1,0,0,0
32,No,Travel_Rarely,834,Research & Development,9,1,Other,1,6327,3,Male,52,4,2,Manager,1,Divorced,2032,19298,3,Y,No,11,3,2,80,0,16,4,3,10,3,1,8
43,No,Travel_Rarely,198,Sales,10,1,Other,1,6328,3,Male,37,4,4,Sales Executive,2,Married,7162,15351,5,Y,Yes,11,3,2,80,2,25,2,3,11,2,5,8
50,No,Travel_Rarely,257,Sales,5,3,Medical,1,6329,4,Male,72,1,4,Manager,3,Single,13630,11515,6,Y,No,12,3,2,80,0,28,2,4,17,5,8,8
38,Yes,Travel_Rarely,623,Research & Development,2,1,Life Sciences,1,6330,2,Female,47,2,3,Research Director,2,Single,5399,21590,6,Y,No,11,3,3,80,2,15,1,3,1,0,0,0
50,No,Travel_Rarely,197,Research & Development,3,3,Other,1,6331,3,Male,82,1,5,Manager,3,Single,12247,3483,7,Y,No,11,3,1,80,0,28,4,2,3,1,1,1
24,No,Travel_Rarely,355,Research & Development,8,1,Other,1,6332,4,Male,54,4,1,Healthcare Representative,4,Single,4830,26633,1,Y,No,11,3,2,80,0,0,1,3,0,0,0,0
33,No,Travel_Rarely,763,Research & Development,19,1,Technical Degree,1,6333,1,Male,95,4,1,Research Scientist,3,Divorced,1395,19816,3,Y,No,11,3,3,80,2,11,1,2,3,0,1,1
34,No,Travel_Rarely,1371,Sales,4,1,Other,1,6334,3,Male,87,4,3,Manager,4,Single,3521,6129,2,Y,No,11,3,2,80,1,5,0,3,2,1,0,1
36,No,Travel_Rarely,931,Research & Development,2,1,Medical,1,6335,3,Male,38,2,3,Manager,4,Single,5909,13731,4,Y,No,11,3,4,80,2,20,2,3,5,3,0,3
38,Yes,Travel_Rarely,150,Research & Development,9,2,Medical,1,6336,1,Male,81,2,3,Research Director,3,Married,6763,5056,6,Y,No,12,3,3,80,1,17,1,3,4,3,0,2
44,No,Travel_Rarely,1462,Research & Development,1,2,Other,1,6337,4,Male,93,4,4,Laboratory Technician,3,Divorced,13786,5231,5,Y,No,11,3,3,80,0,26,1,3,5,0,0,1
33,Yes,Travel_Rarely,286,Research & Development,6,2,Life Sciences,1,6338,3,Male,59,3,2,Manufacturing Director,3,Single,5147,12505,7,Y,Yes,14,3,2,80,0,17,5,2,4,0,0,0
38,Yes,Travel_Frequently,1149,Research & Development,13,3,Medical,1,6339,1,Female,80,3,3,Research Scientist,2,Married,5493,22441,5,Y,Yes,14,3,1,80,3,22,5,4,6,2,0,2
37,No,Travel_Rarely,1079,Sales,20,2,Other,1,6340,4,Male,94,4,3,Manager,3,Married,7854,24799,4,Y,No,16,3,1,80,0,10,3,3,2,1,0,1
28,No,Travel_Rarely,326,Research & Development,15,2,Other,1,6341,4,Male,67,4,1,Research Director,4,Married,2314,18641,4,Y,No,11,3,3,80,1,10,6,1,6,1,2,2
36,Yes,Travel_Frequently,938,Research & Development,1,1,Other,1,6342,3,Male,44,1,2,Manager,2,Divorced,4301,22331,4,Y,No,11,3,1,80,1,13,2,2,1,0,0,0
36,Yes,Travel_Frequently,1215,Research & Development,5,1,Other,1,6343,3,Female,54,2,4,Manufacturing Director,3,Single,8737,17047,3,Y,Yes,13,4,4,80,1,14,1,2,4,1,0,1
35,Yes,Travel_Rarely,890,Research & Development,5,3,Other,1,6344,2,Female,94,3,1,Laboratory Technician,2,Married,2048,23254,3,Y,No,13,4,4,80,0,17,1,2,10,6,4,5
37,Yes,Non-Travel,257,Human Resources,27,3,Human Resources,1,6345,4,Male,46,2,4,Manager,4,Married,8229,7326,3,Y,No,17,3,4,80,2,17,1,2,8,5,0,2
38,No,Travel_Frequently,929,Sales,6,2,Life Sciences,1,6346,2,Male,59,3,2,Sales Representative,3,Divorced,4192,11534,2,Y,No,16,4,2,80,1,15,2,3,7,2,1,1
33,No,Non-Travel,994,Human Resources,7,1,Human Resources,1,6347,2,Male,42,3,1,Human Resources,1,Single,2037,4874,2,Y,No,11,3,3,80,2,10,6,3,2,0,0,0
49,No,Travel_Frequently,443,Research & Development,8,1,Technical Degree,1,6348,2,Male,89,2,2,Laboratory Technician,4,Married,2637,11709,6,Y,No,11,3,2,80,0,29,1,3,5,1,1,2
26,Yes,Travel_Rarely,787,Research & Development,29,1,Technical Degree,1,6349,2,Female,96,4,2,Research Director,2,Single,3088,24958,2,Y,No,11,3,2,80,1,9,5,2,0,0,0,0
30,No,Travel_Rarely,1064,Human Resources,5,2,Life Sciences,1,6350,4,Male,76,1,2,Manager,3,Divorced,2780,12911,2,Y,No,18,4,3,80,1,9,3,3,3,0,0,0
63,No,Travel_Rarely,619,Research & Development,3,1,Other,1,6351,3,Male,56,3,5,Healthcare Representative,4,Divorced,19806,22914,5,Y,No,15,3,4,80,0,36,5,3,21,12,14,5
27,Yes,Travel_Rarely,1338,Research & Development,16,4,Technical Degree,1,6352,3,Male,63,2,4,Research Scientist,3,Married,7021,5370,3,Y,No,13,3,1,80,0,11,2,2,3,1,0,1
24,No,Travel_Rarely,280,Research & Development,15,3,Other,1,6353,4,Female,38,3,2,Laboratory Technician,3,Single,5967,14252,2,Y,No,11,3,3,80,1,0,1,2,0,0,0,0
44,No,Travel_Rarely,1181,Research & Development,2,3,Medical,1,6354,1,Male,65,4,4,Manager,3,Single,8698,19185,4,Y,No,15,3,1,80,0,24,0,1,15,11,2,1
18,No,Travel_Rarely,109,Research & Development,1,2,Life Sciences,1,6355,3,Female,80,4,1,Healthcare Representative,2,Married,1219,15511,1,Y,Yes,11,3,4,80,0,0,4,4,0,0,0,0
35,No,Travel_Rarely,1373,Sales,11,2,Marketing,1,6356,3,Male,54,4,1,Sales Executive,3,Divorced,1727,5164,4,Y,Yes,17,3,4,80,0,17,4,4,3,1,0,1
57,No,Travel_Frequently,164,Human Resources,5,3,Human Resources,1,6357,4,Female,78,2,5,Manager,2,Divorced,16628,6271,7,Y,No,11,3,2,80,0,34,1,4,9,5,1,5
22,No,Travel_Rarely,882,Research & Development,4,1,Other,1,6358,4,Male,45,4,3,Manager,3,Divorced,12499,20584,1,Y,Yes,11,3,4,80,0,6,3,2,3,0,0,0
18,No,Non-Travel,1499,Sales,3,4,Medical,1,6359,3,Male,92,3,2,Sales Representative,4,Married,5725,25233,1,Y,No,14,3,3,80,1,0,1,1,0,0,0,0
23,Yes,Travel_Frequently,980,Human Resources,29,1,Human Resources,1,6360,3,Female,68,3,1,Manager,4,Divorced,3807,26478,2,Y,No,11,3,3,80,3,0,2,2,0,0,0,0
46,Yes,Travel_Rarely,931,Human Resources,7,2,Life Sciences,1,6361,3,Female,61,2,3,Human Resources,2,Divorced,9469,10635,6,Y,No,14,4,2,80,1,26,5,4,5,1,3,2
48,No,Travel_Rarely,1408,Research & Development,2,2,Life Sciences,1,6362,3,Male,73,4,3,Healthcare Representative,4,Married,7836,10940,6,Y,No,11,3,3,80,2,31,3,3,19,10,6,13
32,Yes,Travel_Rarely,335,Research & Development,14,1,Medical,1,6363,3,Female,38,1,1,Manager,2,Married,3123,4382,2,Y,Yes,11,3,4,80,3,10,3,3,2,1,0,1
43,No,Travel_Frequently,1042,Sales,3,3,Marketing,1,6364,2,Female,60,2,2,Sales Executive,4,Married,10996,22308,3,Y,No,17,3,3,80,2,23,5,2,1,0,0,0
50,No,Non-Travel,168,Sales,1,2,Medical,1,6365,2,Male,49,3,4,Sales Executive,3,Married,5997,19075,4,Y,Yes,11,3,2,80,0,30,3,3,3,0,1,0
54,Yes,Travel_Rarely,1347,Research & Development,5,2,Technical Degree,1,6366,3,Female,79,2,4,Healthcare Representative,2,Divorced,13904,14589,6,Y,Yes,16,3,1,80,1,17,4,2,4,0,1,2
35,No,Travel_Rarely,856,Research & Development,16,3,Technical Degree,1,6367,2,Male,54,4,3,Healthcare Representative,3,Single,7708,8357,3,Y,Yes,11,3,1,80,1,6,1,3,3,2,0,2
18,Yes,Travel_Rarely,650,Sales,1,3,Medical,1,6368,4,Female,80,3,1,Manager,2,Divorced,1322,18969,2,Y,No,11,3,2,80,0,1,3,3,0,0,0,0
29,No,Travel_Rarely,399,Research & Development,11,1,Life Sciences,1,6369,1,Male,47,3,2,Research Director,2,Married,2577,24863,2,Y,No,12,3,3,80,3,3,3,3,1,0,0,0
33,No,Travel_Rarely,1390,Research & Development,9,3,Life Sciences,1,6370,3,Male,61,4,3,Laboratory Technician,3,Divorced,9615,18798,3,Y,Yes,11,3,3,80,1,17,2,3,3,0,0,0
35,No,Travel_Rarely,408,Sales,27,1,Technical Degree,1,6371,3,Female,89,4,1,Sales Representative,3,Single,2341,6714,2,Y,No,13,3,3,80,0,6,1,3,2,1,0,0
35,Yes,Travel_Frequently,257,Research & Development,3,1,Other,1,6372,4,Male,32,4,1,Research Scientist,2,Married,3413,8216,3,Y,No,17,4,1,80,1,19,3,2,10,2,2,8
48,No,Non-Travel,1237,Research & Development,21,2,Life Sciences,1,6373,3,Male,69,3,3,Research Scientist,3,Single,9543,21166,5,Y,No,20,3,3,80,2,23,3,2,12,2,0,7
49,No,Travel_Rarely,664,Research & Development,6,2,Life Sciences,1,6374,3,Female,65,2,5,Laboratory Technician,2,Single,8634,11718,8,Y,Yes,23,3,2,80,0,33,3,4,9,3,2,4
35,No,Travel_Rarely,768,Research & Development,4,2,Life Sciences,1,6375,2,Female,98,3,5,Laboratory Technician,2,Married,17601,20885,5,Y,No,13,3,3,80,1,19,2,3,5,1,0,0
47,No,Travel_Rarely,289,Research & Development,9,3,Other,1,6376,2,Male,95,3,3,Research Scientist,2,Married,8361,7137,6,Y,No,12,3,1,80,0,24,0,4,7,4,2,3
40,Yes,Travel_Rarely,357,Research & Development,1,2,Other,1,6377,3,Male,73,2,2,Research Director,1,Divorced,5037,7534,2,Y,No,11,4,2,80,1,12,4,2,9,4,1,2
38,No,Travel_Rarely,329,Sales,3,1,Life Sciences,1,6378,2,Female,88,1,2,Sales Representative,3,Single,3062,12446,5,Y,No,12,3,3,80,3,11,2,3,0,0,0,0
46,No,Travel_Frequently,786,Sales,3,2,Technical Degree,1,6379,3,Male,49,3,3,Sales Executive,1,Single,9669,19304,4,Y,No,13,3,3,80,0,30,3,2,8,1,0,4
38,No,Travel_Rarely,1390,Research & Development,12,1,Life Sciences,1,6380,3,Male,43,4,2,Healthcare Representative,3,Single,2328,19153,3,Y,Yes,12,3,2,80,0,22,5,2,2,1,0,0
57,No,Travel_Rarely,658,Research & Development,25,2,Life Sciences,1,6381,3,Male,41,4,3,Manager,4,Married,8575,3604,8,Y,No,17,3,1,80,1,38,2,2,4,0,1,0
23,Yes,Travel_Rarely,542,Sales,6,1,Other,1,6382,3,Male,32,2,2,Sales Representative,1,Single,6779,19690,0,Y,No,16,3,2,80,1,0,1,3,0,0,0,0
32,No,Travel_Frequently,446,Sales,17,2,Marketing,1,6383,4,Male,93,2,1,Sales Representative,3,Divorced,1633,23258,2,Y,Yes,11,4,2,80,2,6,5,4,2,1,0,1
36,No,Travel_Rarely,331,Sales,3,3,Other,1,6384,3,Female,31,4,3,Sales Representative,3,Married,10873,19266,1,Y,No,11,3,4,80,0,7,2,3,2,0,0,0
41,No,Travel_Rarely,338,Research & Development,6,1,Technical Degree,1,6385,4,Female,87,2,1,Manufacturing Director,2,Divorced,3602,16998,5,Y,No,16,3,3,80,0,17,1,3,4,0,0,2
49,No,Travel_Rarely,1342,Research & Development,2,1,Other,1,6386,4,Male,74,3,3,Healthcare Representative,4,Married,6227,17232,6,Y,No,11,3,2,80,2,24,0,3,2,0,0,0
37,No,Travel_Rarely,892,Research & Development,3,2,Medical,1,6387,3,Male,94,3,3,Manager,2,Married,8258,24452,4,Y,Yes,12,3,3,80,1,5,6,4,2,1,0,0
23,No,Travel_Frequently,1047,Research & Development,18,3,Life Sciences,1,6388,2,Male,72,3,2,Research Scientist,2,Divorced,2549,25049,3,Y,No,17,3,3,80,0,0,1,4,0,0,0,0
45,No,Travel_Rarely,908,Human Resources,18,2,Human Resources,1,6389,1,Male,64,1,4,Manager,4,Divorced,8633,20777,4,Y,No,11,3,4,80,3,17,1,2,7,1,0,3
44,No,Travel_Rarely,980,Research & Development,4,2,Other,1,6390,4,Male,55,1,3,Research Director,2,Single,6642,25437,5,Y,Yes,18,3,4,80,2,21,2,3,7,5,1,2
19,Yes,Travel_Rarely,456,Research & Development,16,1,Medical,1,6391,3,Female,76,3,1,Research Director,3,Divorced,3178,18933,1,Y,Yes,13,3,3,80,1,3,5,2,1,0,0,0
37,No,Travel_Rarely,748,Research & Development,2,3,Life Sciences,1,6392,2,Male,80,4,3,Laboratory Technician,3,Married,6422,2584,2,Y,No,11,3,4,80,3,15,1,2,3,2,0,1
22,No,Travel_Rarely,1360,Research & Development,22,3,Medical,1,6393,3,Female,84,3,3,Healthcare Representative,1,Single,6699,25881,0,Y,Yes,11,3,3,80,2,0,5,3,0,0,0,0
31,Yes,Travel_Rarely,1489,Research & Development,2,1,Technical Degree,1,6394,4,Female,99,2,2,Healthcare Representative,4,Married,3243,20291,1,Y,Yes,11,4,1,80,1,3,3,2,0,0,0,0
28,No,Travel_Frequently,513,Research & Development,1,2,Medical,1,6395,4,Male,72,4,3,Manufacturing Director,3,Single,8582,19876,1,Y,No,19,3,4,80,1,6,4,2,2,1,1,1
45,No,Travel_Rarely,693,Sales,15,5,Marketing,1,6396,3,Male,45,2,4,Sales Representative,4,Married,11063,24530,6,Y,No,11,3,2,80,0,27,1,2,6,3,2,2
38,No,Travel_Rarely,547,Sales,24,1,Other,1,6397,4,Female,38,3,2,Sales Representative,2,Divorced,5363,16180,4,Y,No,11,4,4,80,3,18,3,2,6,3,1,4
25,Yes,Travel_Frequently,1050,Research & Development,8,1,Medical,1,6398,3,Female,49,2,1,Manufacturing Director,2,Single,1624,16922,2,Y,Yes,11,4,1,80,1,7,4,2,3,2,1,1
45,No,Travel_Rarely,505,Sales,22,2,Technical Degree,1,6399,4,Female,58,2,5,Sales Representative,2,Single,8945,25068,5,Y,No,16,3,3,80,1,26,0,3,6,3,0,3
23,Yes,Travel_Rarely,1136,Research & Development,7,1,Other,1,6400,3,Male,57,1,1,Manufacturing Director,3,Divorced,2237,7892,0,Y,No,21,4,2,80,1,1,5,3,0,0,0,0
40,No,Non-Travel,605,Research & Development,6,3,Medical,1,6401,3,Female,95,3,2,Healthcare Representative,3,Married,3305,2581,2,Y,No,11,3,4,80,2,15,4,2,4,1,0,1
29,No,Non-Travel,621,Sales,7,4,Technical Degree,1,6402,2,Male,65,3,2,Sales Executive,2,Single,4289,21777,2,Y,No,11,3,3,80,0,7,2,2,3,1,0,0
34,No,Travel_Frequently,1280,Research & Development,3,1,Other,1,6403,4,Male,71,3,1,Research Scientist,2,Divorced,2256,6474,3,Y,No,16,3,4,80,1,12,1,3,4,2,1,3
42,Yes,Travel_Rarely,1014,Research & Development,1,1,Technical Degree,1,6404,1,Male,30,3,3,Manufacturing Director,2,Divorced,7081,24751,3,Y,Yes,16,3,3,80,1,21,4,3,6,1,0,2
42,Yes,Travel_Rarely,1150,Research & Development,4,3,Other,1,6405,3,Male,60,4,2,Manager,4,Single,4160,25305,4,Y,No,11,4,2,80,1,17,1,1,4,1,0,2
50,No,Travel_Rarely,845,Sales,7,3,Medical,1,6406,3,Female,40,4,5,Sales Executive,3,Married,11540,19617,6,Y,No,11,3,4,80,0,34,4,3,3,0,1,2
36,No,Travel_Frequently,1114,Research & Development,1,2,Life Sciences,1,6407,2,Male,100,2,4,Healthcare Representative,2,Divorced,15074,11120,4,Y,No,11,4,1,80,0,20,1,3,12,4,5,8
40,No,Travel_Rarely,1205,Human Resources,17,3,Other,1,6408,4,Female,45,4,3,Manager,3,Single,2861,9554,3,Y,No,20,3,4,80,2,7,2,2,3,1,0,2
33,Yes,Travel_Rarely,365,Research & Development,1,2,Medical,1,6409,3,Male,88,2,2,Laboratory Technician,2,Married,5086,4366,0,Y,No,11,3,2,80,3,0,2,2,0,0,0,0
39,No,Travel_Rarely,553,Research & Development,6,2,Life Sciences,1,6410,2,Female,60,3,2,Manufacturing Director,2,Married,4509,13135,6,Y,No,15,3,4,80,0,18,3,4,5,0,0,2
41,No,Non-Travel,959,Research & Development,11,2,Technical Degree,1,6411,2,Male,67,2,2,Research Scientist,3,Married,5479,2109,2,Y,No,11,3,3,80,3,12,1,1,2,0,0,0
36,No,Travel_Rarely,771,Research & Development,15,2,Medical,1,6412,4,Female,93,2,1,Manager,3,Single,3027,3607,4,Y,No,11,3,3,80,0,20,2,3,1,0,0,0
20,No,Travel_Rarely,186,Research & Development,29,1,Technical Degree,1,6413,2,Male,61,4,1,Research Director,4,Married,2056,25418,2,Y,Yes,11,3,3,80,0,0,3,3,0,0,0,0
40,No,Travel_Frequently,808,Research & Development,14,1,Other,1,6414,3,Male,61,4,3,Healthcare Representative,2,Single,5094,18768,4,Y,No,12,3,2,80,0,19,2,1,11,2,5,6
40,Yes,Travel_Rarely,939,Sales,6,2,Life Sciences,1,6415,3,Female,42,3,2,Sales Representative,3,Single,4543,25723,4,Y,Yes,20,3,1,80,2,13,3,4,5,3,2,2
